mass_A
t	x	y
0.0	-0.00263794368928999	0.0015551013380189355
0.03339081054158942	-0.0032638964291215183	0.009558354225864825
0.06678162108317974	-0.001842927821066473	0.026780437866854426
0.10017243162477008	-0.0030319585835589247	0.03876575617550352
0.1335632421663604	-0.0024353473784070184	0.05365868084930752
0.1669540527079498	-0.0016151816233152816	0.059258722325300245
0.20034486324954015	-0.0014475157108604086	0.06354957246820785
0.23373567379113047	-4.079870536401742E-4	0.06312761325519642
0.2671264843327208	2.445127889966897E-4	0.06443680458828155
0.3005172948743102	3.2275688147563596E-4	0.0634363979773008
0.33390810541590055	6.706636498195057E-4	0.06220545073669462
0.36729891595749087	2.291434136883347E-4	0.0614160237322196
0.4006897264990812	2.8782648304753743E-4	0.060665718773984044
0.4340805370406706	1.5509096902076303E-4	0.05914554783439321
0.46747134758226094	3.1157915397864165E-4	0.05714473461243173
0.5008621581238513	3.1157915397864165E-4	0.05714473461243173
0.5342529686654416	3.898232464575879E-4	0.056144328001451
0.567643779207031	1.5928261683213764E-4	0.055874665325586076
0.6010345897486213	1.9840466307161074E-4	0.055374462020095716
0.6344254002902117	1.9840466307161074E-4	0.055374462020095716
0.667816210831802	4.289452926970611E-4	0.05564412469596063
